comentario,polaridade
Meu sonho um só cartão de crédito porém meu limite e baixo para as minha necessidade tipo preciso fazer procedimentos dentário no caso e quase 1200 sendo que poderia parcela. porém meu limite e baixo não da terei que pedir um cartão emprestado para fazer esse procedimento dentário ??????????????????,negativo
Meu limite é baixo e faz um tempo que não aumenta. acho até bom. pra não  gastar  muito  kkkkkk #nubank #nulove #nuamor #sounu,positivo
??,neutro
Única coisa que não estou satisfeita. paguei 2 boletos adiantados. valores altos. pedi ajustes e não aumentaram. Uma pena. tive que fazer outro cartão para fazer uma compra específica.,negativo
Eu recebi meu cartão hoje mas é só de conta e eu queria um de crédito .pós pago 550 reais no visa Platinum internacional de anuidade e queria cancelar .. mas se a Nubank não me der um cartão de crédito vou ter que ficar com esse mesmo que tenho limite alto,negativo
Quero aumenta limite. já tentei vários não consigo,negativo
??????????????,positivo
Aumenta o meu limite @nubank !,neutro
O meu comecei com limite baixo de 400 reais. depois de uns meses aumentou 2 vezes ja. agora esta em 1.600 ?? basta ter paciência. que aumenta sim.,positivo
@nubank O melhor cartão do mundooo ??????????????,positivo
@sabrinagarrao,neutro
Eu preciso de limite.nao consigo nem comprar um celular no cartao.tive que pagar avista?? aumenta ai @nubank ???,negativo
Hoje uso mais o platinum de outra instituição. que me atende bem para essas coisas. mas preferia concentrar no NU meus gastos.,neutro
Eu já estou com 3 meses e meu limite é r$ 50. não dá para comprar nada e acabo comprando em dinheiro. porque eu não vou ficar gerando boleto.@nubank,negativo
Se vocês me derem algum limite eu faço isso tudo ai,neutro
Aumenta o meuuuuu ????????,neutro
Aumenta o meu??,neutro
Nuconta e cartao debito ja tenho. proximo passo é conseguir o CREDITO... Meu sonho hahahaha Pena que o SERASA não me ajuda. meu nome ta limpo. mas a pontuação esta baixa... ME AJUDA @nubank hahahahahaha,neutro
???? Perfeito??????,positivo
Eu queria que o meu limite fosse de 2000 ????????,neutro
O meu chegou hj e já gastei tudo. assim que eu pagar essa fatura já vai aumentar? ??,neutro
Preciso tá limpa .pra poder adquirir o cartão?,neutro
O meu nem aceitou. imagina aumentar limite kkk mas tudo certo ??,positivo
O meu nunca aumenta meu limite é pouco de mais tou quase desistindo desse cartão preciso de mais limite,negativo
Preciso aumentar o meu. mas mesmo fazendo tudo certinho é difícil ??,negativo
Aumenta o meu limite,neutro
Pôr favor ??????????,neutro
PRECISO AUMENTAR O MEU PRA ONTEM,neutro
Tô há 1 mês com meu cartão.sei que é pouco tempo mas com só 50$ eu não consigo fazer compras.,negativo
Eu trabalho mas sem registro.tenho rende acima de 1 salário mínimo e tenho gasto muito dinheiro e sempre paguei minha contas sempre adiantado!!,neutro
Eu gosto do nubank mas 50$ pra um jovem não dá nem para comprar tênis...,negativo
Eu nem quero limite muito alto. mas pelo menos 400$ já estaria satisfeito!! @nubank ????,neutro
Preciso de limite ?????????,neutro
Jesus. Eu falo  Nubank. pare de aumentar meu limite  ??????? @mainarateles @gigchaves,positivo
Mais do que feliz com o Nu. em 3 meses aumentaram 2x meu limite sem eu pedir.. é como uma surpresa boa. plim. oi! confiamos em você. toma mais limite aí! agora só uso o Roxinho. tô tipo Testemunha de Nu Bank kkkkk quero agora é uma mochila daquela de brinde ??,positivo
Perfeito ??????????,positivo
Patamar inicial de 50 reais? Cês tão de brincadeira neh? Melhor dizer que o crédito não foi aprovado....??????????,negativo
Puro mimimi esse negócio de que não aumenta o limite pq se preocupa com o usuário. uma vez que vcs ganham justamente quando o cliente usa e não paga em dias..com as txs de juros entre outras. já tenho um tempo usando e pagando as faturas antecipadamente e nada de aumento. hj recebi meu cartão do 'MeuPag' e o limite inicial veio muito mais do que o de VCS. muito mais mesmo...sem contar as diversas vantagens que eles oferecem. Como por exemplo 15por cento de saldo emergêncial sem nenhum custo pelo  serviço.. não era intenção mas devido ao baixo limite de crédito  já aposentei o roxinho de vcs!!! E quem achar que é conversa fiada me chama no PV que mando prints das duas contas. Se fazemos é pq precisamos usar. à quem não tem educação financeira infelizmente não é culpa de quem oferece o crédito. Vale ressaltar que as funcionalidades de ambas as contas são as mesmas. então não se prendam....,negativo
Massa demais que cuidado com os usuários ??,positivo
Indico. muito bom. meu limite inicial foi de 1.100.00 e agora com 04 meses já estou com 3.100.00 de limite.,positivo
O meu não aumenta! Mas melhor assim! ??,positivo
Limite baixíssimo,negativo
O meu chegou bem rápido. consegui abrir a minha conta menos de 10 minutos,positivo
Muito obrigado pela confiança! O aumento do limite foi ótimo! Estou com obra em casa e a ajuda foi maravilhosa! ??,positivo
Oh meu limite veio muito pouco ! Estou sempre pagando a fatura adiantada ! E ate nada de aumentar!!!,negativo
Ainda ñ tem nubank????,neutro
Eu também to tentando aumentar meu limite e não consigo.me ajuda aí por favor.o meu limite é 50 reais ??,negativo
E o aumento do meu limite. até hoje nada né?,negativo
@gilmarasoares01,neutro
@juhamabata,neutro
Meu já tá com 3 meses q peço aumento e é  negado.não entendo pq só veio 50 reais de limite o q eu faço com 50 reais só esse nubank mesmo,negativo
????????????????,negativo
Falta muita coisa a melhor. entre elas o aumento de limite. meu filho cliente desde 2017 com 850 de limite até hoje! Como que pode isso?,negativo
Só falta o meu aumentar. ??,negativo
Eu entendo tudo isso. mas 50 reais de limite é ridículo! #aumentameulimite,negativo
Essa empresa é tudo pra mim ??,positivo
Acabei de pedir ou meu esperando ..,neutro
Simplesmente o melhor ??,positivo
O meu aumentou hoje ??????????,positivo
